;;;;;;1213;RAPPORT DATA;;
Code;Conducteur;Famille;Type;Marque;Telephone;Immat;Heure de départ;Heure d'arrêt;Durée;Chantier;CAA;KM;Carburant Depart;Carburant Arrêt;Consomation Carburant
PK20;;;;;;;22/12/2025 00:00;08:00;8:00:00;Hors Chantier;Arrêt;0,0 ;;;
PK29;;;;;;;22/12/2025 00:00;08:00;8:00:40;Hors Chantier;Arrêt;0,0 ;;;
V047;;;;;;;22/12/2025 00:00;07:55;7:55:00;Hors Chantier;Arrêt;0,0 ;;;
V007;;;;;;;22/12/2025 00:00;07:37;7:37:00;Hors Chantier;Arrêt;0,0 ;;;
V051;;;;;;;22/12/2025 00:00;13:00;13:00:00;Hors Chantier;Arrêt;0,0 ;;;
PK13;;;;;;;22/12/2025 00:00;05:57;5:57:00;Hors Chantier;Arrêt;0,0 ;;;
C100;;;;;;;22/12/2025 00:00;07:35;7:35:00;Hors Chantier;Arrêt;0,0 ;;;
V033;;;;;;;22/12/2025 00:00;12:28;12:28:13;Hors Chantier;Arrêt;0,0 ;;;
V072;;;;;;;22/12/2025 00:00;00:32;0:32:36;Hors Chantier;Course;33,50 ;;;
C083;;;;;;;22/12/2025 00:00;07:54;7:54:00;Hors Chantier;Arrêt;0,0 ;;;
PK27;;;;;;;22/12/2025 00:00;07:46;7:46:17;Hors Chantier;Attente;0,0 ;;;
PL44;;;;;;;22/12/2025 00:00;10:13;10:13:00;Hors Chantier;Arrêt;0,0 ;;;
C039;;;;;;;22/12/2025 00:00;07:50;7:50:00;Hors Chantier;Arrêt;0,0 ;;;
C102;;;;;;;22/12/2025 00:00;07:33;7:33:00;Hors Chantier;Arrêt;0,0 ;;;
C084;;;;;;;22/12/2025 00:00;09:54;9:54:07;Hors Chantier;Arrêt;0,0 ;;;
C084;;;;;;;22/12/2025 00:00;09:54;9:54:07;Hors Chantier;Arrêt;0,0 ;;;
C084;;;;;;;22/12/2025 00:00;09:54;9:54:07;Hors Chantier;Arrêt;0,0 ;;;
C205;;;;;;;22/12/2025 00:00;23:59;23:59:35;Hors Chantier;Arrêt;0,0 ;;;
V070;;;;;;;22/12/2025 00:00;08:37;8:37:30;Hors Chantier;Arrêt;0,0 ;;;
CP006;;;;;;;22/12/2025 00:00;23:59;23:59:00;Hors Chantier;Arrêt;0,0 ;;;
V066;;;;;;;22/12/2025 00:00;23:59;23:58:58;Hors Chantier;Arrêt;0,0 ;;;
C055;;;;;;;22/12/2025 00:00;08:46;8:46:00;Hors Chantier;Arrêt;0,0 ;;;
PK30;;;;;;;22/12/2025 00:00;08:24;8:23:44;Hors Chantier;Arrêt;0,0 ;;;
V073;;;;;;;22/12/2025 00:00;00:25;0:24:51;Hors Chantier;Course;28,14 ;;;
V054;;;;;;;22/12/2025 00:00;07:09;7:09:00;Hors Chantier;Attente;0,0 ;;;
C087;;;;;;;22/12/2025 00:00;10:15;10:15:20;Hors Chantier;Arrêt;0,0 ;;;
PL39;;;;;;;22/12/2025 00:00;07:49;7:49:04;Hors Chantier;Arrêt;0,0 ;;;
PK26;;;;;;;22/12/2025 00:00;06:58;6:58:07;Hors Chantier;Arrêt;0,0 ;;;
TL09;;;;;;;22/12/2025 00:00;08:16;8:15:59;Hors Chantier;Arrêt;0,0 ;;;
PK21;;;;;;;22/12/2025 00:00;06:53;6:53:00;Hors Chantier;Arrêt;0,0 ;;;
GM07;;;;;;;22/12/2025 00:00;14:56;14:55:39;Hors Chantier;Arrêt;0,0 ;;;
C069;;;;;;;22/12/2025 00:00;07:49;7:49:00;Hors Chantier;Arrêt;0,0 ;;;
V055;;;;;;;22/12/2025 00:00;07:09;7:09:00;Hors Chantier;Attente;0,0 ;;;
C099;;;;;;;22/12/2025 00:00;07:39;7:39:00;Hors Chantier;Arrêt;0,0 ;;;
